Game,Region,Game ID,Format,Emulator/Core,Device,Hardware Revision,TreeFrogUI Version,Performance,Audio,Graphics,Status,Required Settings,Notes,Reported By
Star Wars - Demolition,PAL,SLES-03273,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Regular,Good,Good,Playable with Issues,Global default,Some FPS drops and some audio glitches.,MartStartIV
Star Wars: Episode I - Jedi Power Battles,PAL,SLES-02611,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,Just a few FPS drops.,MartStartIV
Star Wars: Episode I - The Phantom Menace,USA,SLUS-00884,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Regular,Playable,Global default,good performance,MartStartIV
Star Wars: Rebel Assault II - The Hidden Empire,PAL,SLES-00654,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,good performance,MartStartIV
Sydney 2000,PAL,SLES-02861,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,good performance,MartStartIV
Syphon Filter 1,PAL,SLES-01900,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"In terms of how it plays, this game works quite well within its series.",MartStartIV
Syphon Filter 2,PAL,SLES-02553,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"In terms of how it plays, this game works quite well within its series.",MartStartIV
Syphon Filter 3,PAL,SLES-03632,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Regular,Playable,Global default,"Playable, despite lower graphical quality and some frame rate stutters.",MartStartIV
Terracon,PAL,SCES-02836,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Regular,Regular,Regular,Partially Playable,Yes,"The clone console struggles quite a bit to run this game; the frame rate is very low and unstable.",MartStartIV
Test Drive 5,USA,SLUS-00714,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,good performance,MartStartIV
Test Drive 6,PAL,SLES-02434,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,good performance,MartStartIV
Tetris Plus,PAL,SLES-00236,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Pefect,Good,Good,Perfect,Global default,good performance,MartStartIV
The mummy,PAL,SLES-02973,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,FPS drops only occur in certain areas.,MartStartIV
Thrasher - Skate and destroy,PAL,SLES-02340,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,good performance,MartStartIV
Thrill Kill beta,USA,SLUS-00752,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,good performance,MartStartIV
Time Crisis - Project Titan,PAL,SLES-03425,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Regular,Playable,Global default,good performance,MartStartIV
Toca Touring Car Championship,PAL,SLES-00713,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Regular,Playable,Global default,good performance,MartStartIV
Toca World Touring Cars,PAL,SLES-02572,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,None,None,None,Not Playable,Global default,You can't play the game.,MartStartIV
Tomb Raider 1,PAL,SLES-00024,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"If you are going to play it in bin/cue format, the .cue file must be set up correctly, as it is required for the game to work (the .cue file is approximately 9 KB in size).",MartStartIV
Tomb Raider 2,PAL,SLES-00712,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,good performance,MartStartIV
Tomb Raider 3,PAL,SLES-01649,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,good performance,MartStartIV
